pos	tag	func	message	source_line	has_trace	model	class_key	class_id	verdict
db.go:636:18	nil-deref	(*go.etcd.io/bbolt.DB).init	call to (*go.etcd.io/bbolt/internal/common.Meta).SetRootBucket violates its nil-deref requirement	  m.SetRootBucket(common.NewInBucket(3, 0))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I(I.I(N, N))	C256	FP/invariant
db.go:637:12	nil-deref	(*go.etcd.io/bbolt.DB).init	call to (*go.etcd.io/bbolt/internal/common.Meta).SetPgid violates its nil-deref requirement	  m.SetPgid(4)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I(N)	C017b	FP/invariant
db.go:638:12	nil-deref	(*go.etcd.io/bbolt.DB).init	call to (*go.etcd.io/bbolt/internal/common.Meta).SetTxid violates its nil-deref requirement	  m.SetTxid(common.Txid(i))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I(I.I(I))	C113	FP/invariant
db.go:639:16	nil-deref	(*go.etcd.io/bbolt.DB).init	call to (*go.etcd.io/bbolt/internal/common.Meta).SetChecksum violates its nil-deref requirement	  m.SetChecksum(m.Sum64())	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I(I.I())	C001	FP/encoding
db.go:420:27	nil-deref	(*go.etcd.io/bbolt.DB).loadFreelist$1	call to (*go.etcd.io/bbolt.DB).hasSyncedFreelist violates its nil-deref requirement	  if !db.hasSyncedFreelist() {	1		nil-deref|I !I.I() {	C201	FP/requires-lifting
db.go:425:28	nil-deref	(*go.etcd.io/bbolt.DB).loadFreelist$1	call to (*go.etcd.io/bbolt.DB).page violates its nil-deref requirement	   db.freelist.Read(db.page(db.meta().Freelist()))	1		nil-deref|I.I.I(I.I(I.I().I()))	C075	FP/invariant
db.go:425:36	nil-deref	(*go.etcd.io/bbolt.DB).loadFreelist$1	call to (*go.etcd.io/bbolt.DB).meta violates its nil-deref requirement	   db.freelist.Read(db.page(db.meta().Freelist()))	1		nil-deref|I.I.I(I.I(I.I().I()))	C075	FP/invariant
db.go:425:47	nil-deref	(*go.etcd.io/bbolt.DB).loadFreelist$1	call to (*go.etcd.io/bbolt/internal/common.Meta).Freelist violates its nil-deref requirement	   db.freelist.Read(db.page(db.meta().Freelist()))	1		nil-deref|I.I.I(I.I(I.I().I()))	C075	FP/invariant
db.go:1129:18	nil-deref	(*go.etcd.io/bbolt.DB).meta	call to (*go.etcd.io/bbolt/internal/common.Meta).Txid violates its nil-deref requirement	 if db.meta1.Txid() > db.meta0.Txid() {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I.I() > I.I.I() {	C171	FP/invariant
db.go:1129:36	nil-deref	(*go.etcd.io/bbolt.DB).meta	call to (*go.etcd.io/bbolt/internal/common.Meta).Txid violates its nil-deref requirement	 if db.meta1.Txid() > db.meta0.Txid() {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I.I() > I.I.I() {	C171	FP/invariant
db.go:1135:26	nil-deref	(*go.etcd.io/bbolt.DB).meta	call to (*go.etcd.io/bbolt/internal/common.Meta).Validate violates its nil-deref requirement	 if err := metaA.Validate(); err == nil {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I := I.I(); I == I {	C359	FP/encoding
db.go:1137:33	nil-deref	(*go.etcd.io/bbolt.DB).meta	call to (*go.etcd.io/bbolt/internal/common.Meta).Validate violates its nil-deref requirement	 } else if err := metaB.Validate(); err == nil {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|} I I I := I.I(); I == I {	C396	FP/invariant
db.go:457:29	nil-deref	(*go.etcd.io/bbolt.DB).mmap	call to (*go.etcd.io/bbolt.DB).fileSize violates its nil-deref requirement	 fileSize, err = db.fileSize()	1	p1 = #x0000000000000000	nil-deref|I, I = I.I()	C299	FP/invariant
db.go:474:23	nil-deref	(*go.etcd.io/bbolt.DB).mmap	call to (*go.etcd.io/bbolt.DB).munlock violates its nil-deref requirement	  if err := db.munlock(fileSize); err != nil {	1	p1 = #x0000000000000000	nil-deref|I I := I.I(I); I != I {	C006	FP/invariant
db.go:481:27	nil-deref	(*go.etcd.io/bbolt.DB).mmap	call to (*go.etcd.io/bbolt.Bucket).dereference violates its nil-deref requirement	  db.rwtx.root.dereference()	1	p1 = #x0000000000000000	nil-deref|I.I.I.I()	C044	FP/encoding
db.go:492:15	nil-deref	(*go.etcd.io/bbolt.DB).mmap	call to go.etcd.io/bbolt.mmap violates its nil-deref requirement	 if err = mmap(db, size); err != nil {	1	p1 = #x0000000000000000	nil-deref|I I = I(I, I); I != I {	C339	FP/requires-lifting
db.go:509:21	nil-deref	(*go.etcd.io/bbolt.DB).mmap	call to (*go.etcd.io/bbolt.DB).mlock violates its nil-deref requirement	  if err := db.mlock(fileSize); err != nil {	1	p1 = #x0000000000000000	nil-deref|I I := I.I(I); I != I {	C006	FP/invariant
db.go:515:20	nil-deref	(*go.etcd.io/bbolt.DB).mmap	call to (*go.etcd.io/bbolt.DB).page violates its nil-deref requirement	 db.meta0 = db.page(0).Meta()	1	p1 = #x0000000000000000	nil-deref|I.I = I.I(N).I()	C140	FP/encoding
db.go:516:20	nil-deref	(*go.etcd.io/bbolt.DB).mmap	call to (*go.etcd.io/bbolt.DB).page violates its nil-deref requirement	 db.meta1 = db.page(1).Meta()	1	p1 = #x0000000000000000	nil-deref|I.I = I.I(N).I()	C140	FP/encoding
db.go:521:27	nil-deref	(*go.etcd.io/bbolt.DB).mmap	call to (*go.etcd.io/bbolt/internal/common.Meta).Validate violates its nil-deref requirement	 err0 := db.meta0.Validate()	1	p1 = #x0000000000000000	nil-deref|I := I.I.I()	C060a	FP/encoding
db.go:522:27	nil-deref	(*go.etcd.io/bbolt.DB).mmap	call to (*go.etcd.io/bbolt/internal/common.Meta).Validate violates its nil-deref requirement	 err1 := db.meta1.Validate()	1	p1 = #x0000000000000000	nil-deref|I := I.I.I()	C060a	FP/encoding
db.go:546:18	nil-deref	(*go.etcd.io/bbolt.DB).munmap	call to go.etcd.io/bbolt.munmap violates its nil-deref requirement	 if err := munmap(db); err != nil {	1	p0 = ptr-nil	nil-deref|I I := I(I); I != I {	C184	FP/invariant
db.go:547:121	nil-deref	(*go.etcd.io/bbolt.DB).munmap	nil dereference in (*go.etcd.io/bbolt.DB).munmap	  db.Logger().Errorf("[GOOS: %s, GOARCH: %s] munmap failed, db.datasz: %d, error: %v", runtime.GOOS, runtime.GOARCH, db.datasz, err)	1	p0 = ptr-nil	nil-deref|I.I().I(S, I.I, I.I, I.I, I)	C273	FP/invariant
db.go:871:46	nil-deref	(*go.etcd.io/bbolt.DB).removeTx	call to (*go.etcd.io/bbolt/internal/common.Meta).Txid violates its nil-deref requirement	  db.freelist.RemoveReadonlyTXID(tx.meta.Txid())	1	p0 = (ptr-addr #x0000000000000000), p1 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I(I.I.I())	C131	FP/invariant
db.go:880:22	nil-deref	(*go.etcd.io/bbolt.DB).removeTx	call to (*go.etcd.io/bbolt.TxStats).add violates its nil-deref requirement	 db.stats.TxStats.add(&tx.stats)	1	p0 = (ptr-addr #x0000000000000000), p1 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I.I(&I.I)	C133	FP/requires-lifting
db.go:880:22	nil-deref	(*go.etcd.io/bbolt.DB).removeTx	call to (*go.etcd.io/bbolt.TxStats).add violates its nil-deref requirement	 db.stats.TxStats.add(&tx.stats)	1	p0 = (ptr-addr #x0000000000000000), p1 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I.I(&I.I)	C133	FP/requires-lifting
logger.go:64:7	nil-deref	(*go.etcd.io/bbolt.DefaultLogger).Debugf	nil dereference in (*go.etcd.io/bbolt.DefaultLogger).Debugf	 if l.debug {	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000), p2 = (seq-val #x0000000000000001 #x8000000000000000)	nil-deref|I I.I {	C037a	TP
logger.go:65:7	nil-deref	(*go.etcd.io/bbolt.DefaultLogger).Debugf	nil dereference in (*go.etcd.io/bbolt.DefaultLogger).Debugf	  _ = l.Output(calldepth, header("DEBUG", fmt.Sprintf(format, v...)))	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000), p2 = (seq-val #x6f00000000000001 #x6f80000000000000)	nil-deref|I = I.I(I, I(S, I.I(I, I...)))	C097	TP
logger.go:50:12	nil-deref	(*go.etcd.io/bbolt.DefaultLogger).EnableTimestamps	call to (*log.Logger).SetFlags violates its nil-deref requirement	 l.SetFlags(l.Flags() | log.Ldate | log.Ltime)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I(I.I() | I.I | I.I)	C117	TP
logger.go:50:12	overflow	(*go.etcd.io/bbolt.DefaultLogger).EnableTimestamps	call to (*log.Logger).SetFlags violates its overflow requirement	 l.SetFlags(l.Flags() | log.Ldate | log.Ltime)	1	p0 = (ptr-addr #x0000000000000000)	overflow|I.I(I.I() | I.I | I.I)	C222	TP
logger.go:50:20	nil-deref	(*go.etcd.io/bbolt.DefaultLogger).EnableTimestamps	call to (*log.Logger).Flags violates its nil-deref requirement	 l.SetFlags(l.Flags() | log.Ldate | log.Ltime)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I(I.I() | I.I | I.I)	C117	TP
logger.go:82:6	nil-deref	(*go.etcd.io/bbolt.DefaultLogger).Errorf	nil dereference in (*go.etcd.io/bbolt.DefaultLogger).Errorf	 _ = l.Output(calldepth, header("ERROR", fmt.Sprintf(format, v...)))	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000), p2 = (seq-val #x0000000000000001 #x8000000000000000)	nil-deref|I = I.I(I, I(S, I.I(I, I...)))	C097	TP
logger.go:74:6	nil-deref	(*go.etcd.io/bbolt.DefaultLogger).Infof	nil dereference in (*go.etcd.io/bbolt.DefaultLogger).Infof	 _ = l.Output(calldepth, header("INFO", fmt.Sprintf(format, v...)))	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x4000000000000000), p2 = (seq-val #x8000000000000001 #xc000000000000000)	nil-deref|I = I.I(I, I(S, I.I(I, I...)))	C097	TP
db.go:1385:30	nil-deref	(*go.etcd.io/bbolt.Stats).Sub	call to (*go.etcd.io/bbolt.TxStats).Sub violates its nil-deref requirement	 diff.TxStats = s.TxStats.Sub(&other.TxStats)	1	p0 = (ptr-addr #x0000000000000000), p1 = (ptr-addr #x0000000000000000)	nil-deref|I.I = I.I.I(&I.I)	C142	FP/encoding
db.go:1385:30	nil-deref	(*go.etcd.io/bbolt.Stats).Sub	call to (*go.etcd.io/bbolt.TxStats).Sub violates its nil-deref requirement	 diff.TxStats = s.TxStats.Sub(&other.TxStats)	1	p0 = (ptr-addr #x0000000000000000), p1 = (ptr-addr #x0000000000000000)	nil-deref|I.I = I.I.I(&I.I)	C142	FP/encoding
tx.go:112:12	nil-deref	(*go.etcd.io/bbolt.Tx).Bucket	nil dereference in (*go.etcd.io/bbolt.Tx).Bucket	 return tx.root.Bucket(name)	1	p0 = ptr-nil, p1 = (seq-val #x0000000000000002 #x8000000000000000)	nil-deref|I I.I.I(I)	C088	FP/encoding
tx.go:195:19	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt.Bucket).rebalance violates its nil-deref requirement	 tx.root.rebalance()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I()	C013	FP/invariant
tx.go:196:26	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt.TxStats).GetRebalance violates its nil-deref requirement	 if tx.stats.GetRebalance() > 0 {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I.I() > N {	C317	FP/encoding
tx.go:197:28	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt.TxStats).IncRebalanceTime violates its nil-deref requirement	  tx.stats.IncRebalanceTime(time.Since(startTime))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I(I.I(I))	C074	FP/encoding
tx.go:200:23	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.Meta).Pgid violates its nil-deref requirement	 opgid := tx.meta.Pgid()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I := I.I.I()	C060b	FP/invariant
tx.go:204:24	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt.Bucket).spill violates its nil-deref requirement	 if err = tx.root.spill(); err != nil {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I = I.I.I(); I != I {	C347	FP/requires-lifting
tx.go:209:23	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt.TxStats).IncSpillTime violates its nil-deref requirement	 tx.stats.IncSpillTime(time.Since(startTime))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I(I.I(I))	C074	FP/encoding
tx.go:212:20	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.Meta).RootBucket violates its nil-deref requirement	 tx.meta.RootBucket().SetRootPage(tx.root.RootPage())	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I().I(I.I.I())	C077	FP/invariant
tx.go:212:34	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.InBucket).SetRootPage violates its nil-deref requirement	 tx.meta.RootBucket().SetRootPage(tx.root.RootPage())	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I().I(I.I.I())	C077	FP/invariant
tx.go:212:51	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.InBucket).RootPage violates its nil-deref requirement	 tx.meta.RootBucket().SetRootPage(tx.root.RootPage())	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I().I(I.I.I())	C077	FP/invariant
tx.go:215:21	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.Meta).Freelist violates its nil-deref requirement	 if tx.meta.Freelist() != common.PgidNoFreelist {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I.I() != I.I {	C090b	FP/encoding
tx.go:216:35	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.Meta).Txid violates its nil-deref requirement	  tx.db.freelist.Free(tx.meta.Txid(), tx.db.page(tx.meta.Freelist()))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I.I(I.I.I(), I.I.I(I.I.I()))	C079a	FP/invariant
tx.go:216:49	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt.DB).page violates its nil-deref requirement	  tx.db.freelist.Free(tx.meta.Txid(), tx.db.page(tx.meta.Freelist()))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I.I(I.I.I(), I.I.I(I.I.I()))	C079b	FP/encoding
tx.go:216:66	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.Meta).Freelist violates its nil-deref requirement	  tx.db.freelist.Free(tx.meta.Txid(), tx.db.page(tx.meta.Freelist()))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I.I(I.I.I(), I.I.I(I.I.I()))	C079a	FP/invariant
tx.go:226:22	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.Meta).SetFreelist violates its nil-deref requirement	  tx.meta.SetFreelist(common.PgidNoFreelist)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I(I.I)	C280	FP/encoding
tx.go:230:17	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.Meta).Pgid violates its nil-deref requirement	 if tx.meta.Pgid() > opgid {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I.I() > I {	C318	FP/invariant
tx.go:235:22	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt.DB).grow violates its nil-deref requirement	  if err = tx.db.grow(int(tx.meta.Pgid()+1) * tx.db.pageSize); err != nil {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I = I.I.I(I(I.I.I()+N) * I.I.I); I != I {	C179	FP/requires-lifting
tx.go:235:39	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.Meta).Pgid violates its nil-deref requirement	  if err = tx.db.grow(int(tx.meta.Pgid()+1) * tx.db.pageSize); err != nil {	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I = I.I.I(I(I.I.I()+N) * I.I.I); I != I {	C179	FP/requires-lifting
tx.go:236:87	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt/internal/common.Meta).Pgid violates its nil-deref requirement	   lg.Errorf("growing db size failed, pgid: %d, pagesize: %d, error: %v", tx.meta.Pgid(), tx.db.pageSize, err)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I(S, I.I.I(), I.I.I, I)	C247	FP/invariant
tx.go:272:23	nil-deref	(*go.etcd.io/bbolt.Tx).Commit	call to (*go.etcd.io/bbolt.TxStats).IncWriteTime violates its nil-deref requirement	 tx.stats.IncWriteTime(time.Since(startTime))	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I.I.I(I.I(I))	C074	FP/encoding
tx.go:119:29	nil-deref	(*go.etcd.io/bbolt.Tx).CreateBucket	call to (*go.etcd.io/bbolt.Bucket).CreateBucket violates its nil-deref requirement	 return tx.root.CreateBucket(name)	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x6000000000000002 #x7000000000000000)	nil-deref|I I.I.I(I)	C088	FP/encoding
tx.go:126:40	nil-deref	(*go.etcd.io/bbolt.Tx).CreateBucketIfNotExists	call to (*go.etcd.io/bbolt.Bucket).CreateBucketIfNotExists violates its nil-deref requirement	 return tx.root.CreateBucketIfNotExists(name)	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x6000000000000002 #x7000000000000000)	nil-deref|I I.I.I(I)	C088	FP/encoding
tx.go:95:23	nil-deref	(*go.etcd.io/bbolt.Tx).Cursor	call to (*go.etcd.io/bbolt.Bucket).Cursor violates its nil-deref requirement	 return tx.root.Cursor()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I.I()	C014b	FP/invariant
tx.go:157:24	nil-deref	(*go.etcd.io/bbolt.Tx).ForEach	call to (*go.etcd.io/bbolt.Bucket).ForEach violates its nil-deref requirement	 return tx.root.ForEach(func(k, v []byte) error {	1		nil-deref|I I.I.I(I(I, I []I) I {	C316	FP/encoding
tx.go:72:25	nil-deref	(*go.etcd.io/bbolt.Tx).ID	call to (*go.etcd.io/bbolt/internal/common.Meta).Txid violates its nil-deref requirement	 return int(tx.meta.Txid())	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I(I.I.I())	C157b	FP/encoding
tx.go:105:24	nil-deref	(*go.etcd.io/bbolt.Tx).Inspect	call to (*go.etcd.io/bbolt.Bucket).Inspect violates its nil-deref requirement	 return tx.root.Inspect()	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I.I.I()	C014b	FP/invariant
tx.go:150:23	nil-deref	(*go.etcd.io/bbolt.Tx).MoveBucket	call to (*go.etcd.io/bbolt.Bucket).MoveBucket violates its nil-deref requirement	 return src.MoveBucket(child, dst)	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x0000000000000002 #x8000000000000000), p2 = ptr-nil, p3 = ptr-nil	nil-deref|I I.I(I, I)	C087b	FP/encoding
tx.go:150:23	nil-deref	(*go.etcd.io/bbolt.Tx).MoveBucket	call to (*go.etcd.io/bbolt.Bucket).MoveBucket violates its nil-deref requirement	 return src.MoveBucket(child, dst)	1	p0 = (ptr-addr #x0000000000000000), p1 = (seq-val #x0000000000000002 #x1000000000000000), p2 = ptr-nil, p3 = ptr-nil	nil-deref|I I.I(I, I)	C087b	FP/encoding
tx.go:626:43	nil-deref	(*go.etcd.io/bbolt.Tx).Page	call to (*go.etcd.io/bbolt/internal/common.Meta).Pgid violates its nil-deref requirement	 } else if common.Pgid(id) >= tx.meta.Pgid() {	1	p0 = (ptr-addr #x0000000000000000), p1 = #x0000000000000000	nil-deref|} I I I.I(I) >= I.I.I() {	C395	FP/invariant
tx.go:635:17	nil-deref	(*go.etcd.io/bbolt.Tx).Page	call to (*go.etcd.io/bbolt.DB).page violates its nil-deref requirement	 p := tx.db.page(common.Pgid(id))	1	p0 = (ptr-addr #x0000000000000000), p1 = #x0000000000000000	nil-deref|I := I.I.I(I.I(I))	C388	FP/encoding
tx.go:638:29	nil-deref	(*go.etcd.io/bbolt.Tx).Page	call to (*go.etcd.io/bbolt/internal/common.Page).Count violates its nil-deref requirement	  Count:         int(p.Count()),	1	p0 = (ptr-addr #x0000000000000000), p1 = #x0000000000000000	nil-deref|I: I(I.I()),	C144	FP/invariant
tx.go:639:32	nil-deref	(*go.etcd.io/bbolt.Tx).Page	call to (*go.etcd.io/bbolt/internal/common.Page).Overflow violates its nil-deref requirement	  OverflowCount: int(p.Overflow()),	1	p0 = (ptr-addr #x0000000000000000), p1 = #x0000000000000000	nil-deref|I: I(I.I()),	C144	FP/invariant
tx.go:303:20	nil-deref	(*go.etcd.io/bbolt.Tx).Rollback	nil dereference in (*go.etcd.io/bbolt.Tx).Rollback	 common.Assert(!tx.managed, "managed tx rollback not allowed")	1	p0 = ptr-nil	nil-deref|I.I(!I.I, S)	C276	FP/invariant
tx.go:304:8	nil-deref	(*go.etcd.io/bbolt.Tx).Rollback	nil dereference in (*go.etcd.io/bbolt.Tx).Rollback	 if tx.db == nil {	1	p0 = ptr-nil	nil-deref|I I.I == I {	C053a	FP/encoding
tx.go:82:27	nil-deref	(*go.etcd.io/bbolt.Tx).Size	call to (*go.etcd.io/bbolt/internal/common.Meta).Pgid violates its nil-deref requirement	 return int64(tx.meta.Pgid()) * int64(tx.db.pageSize)	1	p0 = (ptr-addr #x0000000000000000)	nil-deref|I I(I.I.I()) * I(I.I.I)	C304	TP
tx.go:391:15	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	nil dereference in (*go.etcd.io/bbolt.Tx).WriteTo	 f, err := tx.db.openFile(tx.db.path, os.O_RDONLY|tx.WriteFlag, 0)	1	p0 = ptr-nil	nil-deref|I, I := I.I.I(I.I.I, I.I|I.I, N)	C084	TP
tx.go:391:30	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	nil dereference in (*go.etcd.io/bbolt.Tx).WriteTo	 f, err := tx.db.openFile(tx.db.path, os.O_RDONLY|tx.WriteFlag, 0)	1	p0 = ptr-nil	nil-deref|I, I := I.I.I(I.I.I, I.I|I.I, N)	C084	TP
tx.go:391:54	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	nil dereference in (*go.etcd.io/bbolt.Tx).WriteTo	 f, err := tx.db.openFile(tx.db.path, os.O_RDONLY|tx.WriteFlag, 0)	1	p0 = ptr-nil	nil-deref|I, I := I.I.I(I.I.I, I.I|I.I, N)	C084	TP
tx.go:402:25	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	nil dereference in (*go.etcd.io/bbolt.Tx).WriteTo	 buf := make([]byte, tx.db.pageSize)	1	p0 = ptr-nil	nil-deref|I := I([]I, I.I.I)	C380	TP
tx.go:404:15	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	call to (*go.etcd.io/bbolt/internal/common.Page).SetFlags violates its nil-deref requirement	 page.SetFlags(common.MetaPageFlag)	1		nil-deref|I.I(I.I)	C023	FP/invariant
tx.go:405:21	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	nil dereference in (*go.etcd.io/bbolt.Tx).WriteTo	 *page.Meta() = *tx.meta	1	p0 = ptr-nil	nil-deref|*I.I() = *I.I	C393	FP/invariant
tx.go:408:12	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	call to (*go.etcd.io/bbolt/internal/common.Page).SetId violates its nil-deref requirement	 page.SetId(0)	1		nil-deref|I.I(N)	C017b	FP/invariant
tx.go:409:25	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	call to (*go.etcd.io/bbolt/internal/common.Meta).SetChecksum violates its nil-deref requirement	 page.Meta().SetChecksum(page.Meta().Sum64())	1		nil-deref|I.I().I(I.I().I())	C126	FP/encoding
tx.go:417:12	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	call to (*go.etcd.io/bbolt/internal/common.Page).SetId violates its nil-deref requirement	 page.SetId(1)	1		nil-deref|I.I(N)	C017b	FP/invariant
tx.go:418:21	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	call to (*go.etcd.io/bbolt/internal/common.Meta).DecTxid violates its nil-deref requirement	 page.Meta().DecTxid()	1		nil-deref|I.I().I()	C274	FP/encoding
tx.go:419:25	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	call to (*go.etcd.io/bbolt/internal/common.Meta).SetChecksum violates its nil-deref requirement	 page.Meta().SetChecksum(page.Meta().Sum64())	1		nil-deref|I.I().I(I.I().I())	C126	FP/encoding
tx.go:427:31	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	nil dereference in (*go.etcd.io/bbolt.Tx).WriteTo	 if _, err := f.Seek(int64(tx.db.pageSize*2), io.SeekStart); err != nil {	1	p0 = ptr-nil	nil-deref|I I, I := I.I(I(I.I.I*N), I.I); I != I {	C329	FP/invariant
tx.go:432:35	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	call to (*go.etcd.io/bbolt.Tx).Size violates its nil-deref requirement	 wn, err := io.CopyN(w, f, tx.Size()-int64(tx.db.pageSize*2))	1	p0 = ptr-nil	nil-deref|I, I := I.I(I, I, I.I()-I(I.I.I*N))	C149	FP/encoding
tx.go:432:47	nil-deref	(*go.etcd.io/bbolt.Tx).WriteTo	nil dereference in (*go.etcd.io/bbolt.Tx).WriteTo	 wn, err := io.CopyN(w, f, tx.Size()-int64(tx.db.pageSize*2))	1	p0 = ptr-nil	nil-deref|I, I := I.I(I, I, I.I()-I(I.I.I*N))	C149	FP/encoding
tx.go:461:26	nil-deref	(*go.etcd.io/bbolt.Tx).allocate	call to (*go.etcd.io/bbolt.DB).allocate violates its nil-deref requirement	 p, err := tx.db.allocate(tx.meta.Txid(), count)	1	p0 = (ptr-addr #x0000000000000000), p1 = #x588400c000000001	nil-deref|I, I := I.I.I(I.I.I(), I)	C152	FP/requires-lifting
tx.go:461:39	nil-deref	(*go.etcd.io/bbolt.Tx).allocate	call to (*go.etcd.io/bbolt/internal/common.Meta).Txid violates its nil-deref requirement	 p, err := tx.db.allocate(tx.meta.Txid(), count)	1	p0 = (ptr-addr #x0000000000000000), p1 = #x30f3cfd01bd18011	nil-deref|I, I := I.I.I(I.I.I(), I)	C152	FP/requires-lifting
tx.go:463:78	nil-deref	(*go.etcd.io/bbolt.Tx).allocate	call to (*go.etcd.io/bbolt/internal/common.Meta).Txid violates its nil-deref requirement	  lg.Errorf("allocating failed, txid: %d, count: %d, error: %v", tx.meta.Txid(), count, err)	1	p0 = (ptr-addr #x0000000000000000), p1 = #x210335fcd44002fd	nil-deref|I.I(S, I.I.I(), I, I)	C248	FP/invariant
tx.go:468:15	nil-deref	(*go.etcd.io/bbolt.Tx).allocate	call to (*go.etcd.io/bbolt/internal/common.Page).Id violates its nil-deref requirement	 tx.pages[p.Id()] = p	1	p0 = (ptr-addr #x0000000000000000), p1 = #x6c9a05635823843b	nil-deref|I.I[I.I()] = I	C244	FP/encoding
